COUNTRY.Name,INDEX_TYPE.Name,COICOP_1999.Name,TYPE_OF_TRANSFORMATION.Name,FREQUENCY.Name,SCALE.Name,TIME_PERIOD,OBS_VALUE
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2000-Q1,75.42929333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2000-Q2,76.29337667
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2000-Q3,76.36962
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2000-Q4,76.87790333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2001-Q1,77.23333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2001-Q2,78.23333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2001-Q3,78.2
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2001-Q4,78.43333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2002-Q1,79.16666667
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2002-Q2,80
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2002-Q3,80
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2002-Q4,80.5
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2003-Q1,81.33333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2003-Q2,81.83333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2003-Q3,81.46666667
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2003-Q4,81.66666667
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2004-Q1,82.1
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2004-Q2,82.73333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2004-Q3,82.43333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2004-Q4,82.8
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2005-Q1,83.1
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2005-Q2,84.13333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2005-Q3,84.3
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2005-Q4,84.53333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2006-Q1,84.83333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2006-Q2,85.83333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2006-Q3,85.9
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2006-Q4,85.96666667
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2007-Q1,86.43333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2007-Q2,87.2
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2007-Q3,86.86666667
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2007-Q4,87.83333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2008-Q1,89.06666667
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2008-Q2,90.26666667
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2008-Q3,90.5
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2008-Q4,90.4
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2009-Q1,90.63333333
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2009-Q2,91.36666667
Denmark,Consumer price index (CPI),All Items,Index,Quarterly,Units,2009-Q3,91.4
