Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates,,,
,,TIMESPAN:Timespan,2000-01-01_2023-12-31:,14/11/2024,2024-11-18 01:17 CET,BIS,https://data.bis.org/topics/EER/data?filter=TIMESPAN%3D2000-01-01_2023-12-31%255EFREQ%3DM%255EEER_TYPE%3DN%255EEER_BASKET%3DB%255EREF_AREA_TXT%3DDenmark%257CIceland%257CNorway%257CSweden%257CUnited%2520Kingdom&data_view=timeseries&selected_ts=BIS%2CWS_EER%2C1.0%255EM.N.B.DK%2BIS%2BNO%2BSE%2BGB,https://data.bis.org/topics/EER/data?filter=TIMESPAN%3D2000-01-01_2023-12-31%255EFREQ%3DM%255EEER_TYPE%3DN%255EEER_BASKET%3DB%255EREF_AREA_TXT%3DDenmark%257CIceland%257CNorway%257CSweden%257CUnited%2520Kingdom&data_view=timeseries&selected_ts=BIS%2CWS_EER%2C1.0%255EM.N.B.DK%2BIS%2BNO%2BSE%2BGB&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/EER,,,
,,,,,,,,,,,,
DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/01/2000,F:Free,,A:Normal value,88.87
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,29/02/2000,F:Free,,A:Normal value,88.22
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/03/2000,F:Free,,A:Normal value,87.47
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/04/2000,F:Free,,A:Normal value,86.8
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/05/2000,F:Free,,A:Normal value,86.08
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,30/06/2000,F:Free,,A:Normal value,87.46
"BIS,WS_EER,1.0",M.N.B.DK,M:Monthly,N:Nominal,B:Broad (64 economies),DK:Denmark,"Index, 2020 = 100",,31/07/2000,F:Free,,A:Normal value,87.28
