,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),,
,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Dlcpi,0.342*,0.361**,0.364**,0.336*,0.357*,0.359**,0.344*,0.369**,0.355**,0.336*,0.355*,0.352*,0.329*,0.350*,0.348*,0.335*,0.359*,0.341*,0.364**,0.399**,0.380**,0.357**,0.394**,0.375**,0.350*,0.386**,0.368**,0.312*,0.334*,0.362**,0.305*,0.329*,0.357*,0.296*,0.321*,0.351*,0.307*,0.329*,0.353*,0.300*,0.323*,0.348*,0.288*,0.313*,0.339*,0.298*,0.333*,0.354*,0.292*,0.328*,0.349*,0.281*,0.317*,0.339*,,
,(0.131),(0.137),(0.128),(0.130),(0.136),(0.127),(0.131),(0.136),(0.128),(0.138),(0.145),(0.134),(0.137),(0.144),(0.133),(0.139),(0.145),(0.136),(0.135),(0.140),(0.132),(0.134),(0.140),(0.131),(0.137),(0.143),(0.134),(0.130),(0.135),(0.136),(0.130),(0.135),(0.137),(0.132),(0.137),(0.139),(0.136),(0.141),(0.142),(0.136),(0.142),(0.143),(0.139),(0.145),(0.146),(0.130),(0.135),(0.136),(0.131),(0.136),(0.137),(0.134),(0.139),(0.141),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2.Dlcpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0994,0.0969,0.00405,0.101,0.0984,0.00591,0.105,0.102,0.0103,0.0977,0.0956,-0.00229,0.0993,0.0970,-0.000458,0.103,0.101,0.00424,0.153,0.151,0.0644,0.153,0.151,0.0646,0.157,0.155,0.0696,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(0.0878),(0.0883),(0.0891),(0.0868),(0.0870),(0.0888),(0.0886),(0.0888),(0.0909),(0.0885),(0.0889),(0.0894),(0.0874),(0.0875),(0.0893),(0.0891),(0.0892),(0.0910),(0.0956),(0.0965),(0.101),(0.0953),(0.0958),(0.101),(0.0966),(0.0969),(0.102),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dlm,0.0208*,0.0199*,0.0163,0.0232*,0.0223*,0.0187,0.0215*,0.0204*,0.0188,0.0201*,0.0194,0.0153,0.0225*,0.0218*,0.0177,0.0207*,0.0197,0.0176,0.0210*,0.0197*,0.0177,0.0231*,0.0218*,0.0198*,0.0230*,0.0217*,0.0197*,0.0221*,0.0211*,0.0165,0.0246*,0.0236*,0.0190,0.0249*,0.0237*,0.0192,0.0214*,0.0205,0.0153,0.0239*,0.0230*,0.0177,0.0240*,0.0230*,0.0178,0.0262*,0.0249*,0.0201,0.0283**,0.0270*,0.0222*,0.0284**,0.0270*,0.0223*,,
,(0.00958),(0.00973),(0.00965),(0.0101),(0.0102),(0.0102),(0.00983),(0.00998),(0.0103),(0.00993),(0.0101),(0.0101),(0.0105),(0.0106),(0.0107),(0.0102),(0.0103),(0.0107),(0.00890),(0.00888),(0.00907),(0.00934),(0.00931),(0.00951),(0.00938),(0.00940),(0.00959),(0.0101),(0.0102),(0.0104),(0.0106),(0.0107),(0.0108),(0.0107),(0.0108),(0.0110),(0.0105),(0.0106),(0.0109),(0.0110),(0.0110),(0.0113),(0.0111),(0.0112),(0.0114),(0.0101),(0.0100),(0.0102),(0.0104),(0.0103),(0.0104),(0.0105),(0.0104),(0.0105),,
