,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),
,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Dlcpi,0.446***,0.446***,0.446***,0.275**,0.271**,0.273**,0.230,0.207,0.194,0.442***,0.442***,0.442***,0.312***,0.308***,0.310***,0.244*,0.218,0.205,0.474***,0.472***,0.467***,0.343***,0.338***,0.334***,0.263*,0.237*,0.224,0.372***,0.370***,0.364***,0.154,0.144,0.142,0.117,0.0852,0.0689,0.393***,0.391***,0.385***,0.200,0.191,0.187,0.149,0.116,0.0992,0.421***,0.417***,0.407***,0.221,0.208,0.199,0.171,0.138,0.119,
,(0.0874),(0.0905),(0.0892),(0.0867),(0.0897),(0.0912),(0.117),(0.122),(0.124),(0.0745),(0.0744),(0.0757),(0.0853),(0.0865),(0.0883),(0.112),(0.118),(0.119),(0.0837),(0.0824),(0.0831),(0.0908),(0.0909),(0.0926),(0.111),(0.116),(0.118),(0.0931),(0.0964),(0.0962),(0.0982),(0.104),(0.104),(0.121),(0.131),(0.134),(0.0857),(0.0858),(0.0880),(0.105),(0.109),(0.110),(0.122),(0.131),(0.135),(0.0970),(0.0962),(0.0982),(0.112),(0.117),(0.121),(0.125),(0.134),(0.138),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2.Dlcpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,0.188,0.194,0.261**,0.272**,0.276**,0.258**,0.269**,0.273**,0.124,0.129,0.135,0.221*,0.231*,0.237*,0.210*,0.220*,0.225*,0.110,0.117,0.125,0.211*,0.223*,0.231*,0.190,0.199*,0.206*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(0.121),(0.119),(0.110),(0.0885),(0.0879),(0.0850),(0.0888),(0.0868),(0.0825),(0.116),(0.114),(0.110),(0.0971),(0.0967),(0.0944),(0.0978),(0.0951),(0.0909),(0.115),(0.114),(0.110),(0.0964),(0.0977),(0.0971),(0.0966),(0.0958),(0.0933),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dlm,-0.0368,-0.0375,-0.0406,-0.00791,-0.00878,-0.0118,-0.00563,-0.00544,-0.00702,-0.0549*,-0.0564*,-0.0587*,-0.0251,-0.0263,-0.0288,-0.0229,-0.0235,-0.0247,-0.0524,-0.0540*,-0.0555*,-0.0228,-0.0242,-0.0258,-0.0167,-0.0172,-0.0187,-0.0309,-0.0317,-0.0337,0.00328,0.00271,0.000641,0.00571,0.00643,0.00493,-0.0506,-0.0520,-0.0530,-0.0115,-0.0122,-0.0133,-0.00944,-0.00954,-0.0105,-0.0483,-0.0498,-0.0512,-0.0102,-0.0112,-0.0126,-0.00666,-0.00673,-0.00797,
,(0.0264),(0.0267),(0.0279),(0.0205),(0.0207),(0.0218),(0.0209),(0.0208),(0.0217),(0.0262),(0.0265),(0.0269),(0.0224),(0.0225),(0.0232),(0.0219),(0.0216),(0.0221),(0.0266),(0.0268),(0.0273),(0.0228),(0.0229),(0.0235),(0.0217),(0.0214),(0.0220),(0.0263),(0.0265),(0.0275),(0.0190),(0.0188),(0.0198),(0.0188),(0.0183),(0.0192),(0.0274),(0.0275),(0.0276),(0.0227),(0.0224),(0.0227),(0.0219),(0.0212),(0.0214),(0.0274),(0.0274),(0.0277),(0.0228),(0.0224),(0.0227),(0.0214),(0.0207),(0.0210),
