,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),
,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,Dlcpi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Dlcpi,0.214*,0.176,0.165,0.221*,0.179,0.178,0.230*,0.184,0.173,0.232*,0.193,0.193,0.231*,0.189,0.192,0.244*,0.198,0.188,0.261*,0.223*,0.215,0.259*,0.218*,0.212,0.256*,0.211*,0.201,0.0893,0.0649,0.0716,0.0916,0.0681,0.0769,0.0884,0.0610,0.0701,0.109,0.0842,0.0986,0.106,0.0836,0.0976,0.104,0.0779,0.0933,0.122,0.0968,0.113,0.120,0.0973,0.113,0.115,0.0897,0.104,
,(0.103),(0.0999),(0.102),(0.0982),(0.0951),(0.0985),(0.0976),(0.0969),(0.106),(0.103),(0.102),(0.105),(0.101),(0.0980),(0.101),(0.101),(0.100),(0.107),(0.108),(0.107),(0.113),(0.106),(0.104),(0.109),(0.106),(0.106),(0.112),(0.0701),(0.0698),(0.0728),(0.0698),(0.0693),(0.0724),(0.0697),(0.0703),(0.0742),(0.0686),(0.0696),(0.0736),(0.0714),(0.0719),(0.0759),(0.0719),(0.0734),(0.0780),(0.0726),(0.0737),(0.0791),(0.0761),(0.0768),(0.0822),(0.0772),(0.0787),(0.0844),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2.Dlcpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.640***,0.629***,0.642***,0.635***,0.619***,0.631***,0.637***,0.621***,0.632***,0.632***,0.620***,0.641***,0.648***,0.632***,0.651***,0.650***,0.634***,0.651***,0.622***,0.612***,0.634***,0.640***,0.626***,0.646***,0.642***,0.627***,0.644***,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(0.129),(0.131),(0.138),(0.136),(0.139),(0.144),(0.136),(0.139),(0.144),(0.127),(0.130),(0.136),(0.135),(0.139),(0.143),(0.134),(0.139),(0.144),(0.123),(0.126),(0.132),(0.131),(0.135),(0.140),(0.131),(0.135),(0.140),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dlm,-0.0468,-0.0540,-0.0603,-0.0503,-0.0590,-0.0652,-0.0550,-0.0648,-0.0662,-0.0567,-0.0645,-0.0714,-0.0560,-0.0641,-0.0710,-0.0619,-0.0709,-0.0715,-0.0578,-0.0657,-0.0662,-0.0576,-0.0660,-0.0664,-0.0578,-0.0667,-0.0673,0.000103,-0.00575,-0.00333,-0.000930,-0.00808,-0.00582,-0.00141,-0.00935,-0.00711,-0.0105,-0.0171,-0.0143,-0.00973,-0.0161,-0.0136,-0.00997,-0.0170,-0.0142,-0.00848,-0.0149,-0.0117,-0.00729,-0.0135,-0.0106,-0.00733,-0.0142,-0.0116,
